LegalAddress,Coordinates
"117463, ГОРОД МОСКВА, ПРОСПЕКТ НОВОЯСЕНЕВСКИЙ, 38, 2","(('37.543614'), ('55.601833'))"
"119331, ГОРОД МОСКВА, УЛИЦА КРУПСКОЙ, ДОМ 17","(('37.524022'), ('55.68326'))"
"109451, ГОРОД МОСКВА, БУЛЬВАР ПЕРЕРВИНСКИЙ, ДОМ 10, КОРПУС 2","(('37.763486'), ('55.659805'))"
"111672, ГОРОД МОСКВА, УЛИЦА НОВОКОСИНСКАЯ, ДОМ 40А","(('37.87211'), ('55.74186'))"
"119634, г. Москва, улица Чоботовская, дом 19","(('37.345625'), ('55.645207'))"
"115409, ГОРОД МОСКВА, ПРОСПЕКТ ПРОЛЕТАРСКИЙ, ДОМ 7, КОРПУС 3","(('37.659191'), ('55.646472'))"
"125057, ГОРОД МОСКВА, ПЕРЕУЛОК ЧАПАЕВСКИЙ, ДОМ 6, СТРОЕНИЕ 2","(('37.518147'), ('55.801045'))"
"121601, ГОРОД МОСКВА, БУЛЬВАР ФИЛЁВСКИЙ, ДОМ 3, КОРПУС 2","(('37.491359'), ('55.76443'))"
"123022, ГОРОД МОСКВА, ПЕРЕУЛОК ТРЕХГОРНЫЙ Б., 3","(('37.56379'), ('55.760074'))"
"129085, ГОРОД МОСКВА, УЛИЦА ГОДОВИКОВА, 4, СТР.3","(('37.633068'), ('55.803702'))"
"119002, ГОРОД МОСКВА, ПЕРЕУЛОК СПАСОПЕСКОВСКИЙ, 6, СТР.7","(('37.589033'), ('55.749866'))"
"119421, ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНСКИЙ, ДОМ 97, КОРПУС 1","(('37.523797'), ('55.671493'))"
"105043, ГОРОД МОСКВА, УЛИЦА ПЕРВОМАЙСКАЯ, 59, СТР.1","(('37.793642'), ('55.794502'))"
"109387, ГОРОД МОСКВА, УЛИЦА КРАСНОДОНСКАЯ, ДОМ 2, КОРПУС 4","(('37.75108'), ('55.686335'))"
"127055, ГОРОД МОСКВА, ПЕРЕУЛОК ТИХВИНСКИЙ, ДОМ 3","(('37.59577'), ('55.787705'))"
"108800, ГОРОД МОСКВА, ПОСЕЛЕНИЕ КИЕВСКИЙ, РАБОЧИЙ ПОСЕЛОК КИЕВСКИЙ, ДОМ 7А","(('36.870983'), ('55.430242'))"
"105064, ГОРОД МОСКВА, ПЕРЕУЛОК БОЛЬШОЙ КАЗЁННЫЙ, ДОМ 9","(('37.655652'), ('55.760352'))"
"125480, г. Москва, ул. Героев Панфиловцев, д. 15","(('37.426869'), ('55.856694'))"
"107014, ГОРОД МОСКВА, УЛИЦА ЕГЕРСКАЯ, ДОМ 4","(('37.684685'), ('55.793358'))"
"111555, ГОРОД МОСКВА, УЛИЦА МОЛОСТОВЫХ, 10А","(('37.830213'), ('55.760287'))"
"105043, ГОРОД МОСКВА, УЛИЦА НИЖНЯЯ ПЕРВОМАЙСКАЯ, ДОМ 14","(('37.796481'), ('55.790712'))"
"109388, ГОРОД МОСКВА, УЛИЦА ПОЛБИНА, ДОМ 44","(('37.727023'), ('55.680265'))"
"108850, ГОРОД МОСКВА, ПОСЕЛЕНИЕ ВНУКОВСКОЕ, УЛИЦА АВИАКОНСТРУКТОРА ПЕТЛЯКОВА, ДОМ 17","(('37.309217'), ('55.622045'))"
"108823, ГОРОД МОСКВА, ПОСЕЛЕНИЕ РЯЗАНОВСКОЕ, ПОСЕЛОК ЗНАМЯ ОКТЯБРЯ, МИКРОРАЙОН РОДНИКИ, ДОМ 11","(('37.541'), ('55.46926'))"
"117186, ГОРОД МОСКВА, ПРОСПЕКТ СЕВАСТОПОЛЬСКИЙ, ДОМ 43А","(('37.590057'), ('55.67157'))"
"127273, г. Москва, ул. Отрадная, дом 1 А","(('37.604987'), ('55.860453'))"
"125373, г. Москва, ул. Героев Панфиловцев, д. 35, корп. 2","(('37.413331'), ('55.855052'))"
"111399, ГОРОД МОСКВА, ПРОСПЕКТ ФЕДЕРАТИВНЫЙ, 1-А","(('37.797047'), ('55.758504'))"
"107078, ГОРОД МОСКВА, ПЕРЕУЛОК МАЛЫЙ КОЗЛОВСКИЙ, 3","(('37.649256'), ('55.764951'))"
"105187, ГОРОД МОСКВА, УЛИЦА ЛЕЧЕБНАЯ, 20","(('37.740812'), ('55.78978'))"
"127253, ГОРОД МОСКВА, УЛИЦА ПСКОВСКАЯ, 11","(('37.552957'), ('55.906628'))"
"111674, ГОРОД МОСКВА, УЛИЦА 1-Я ВОЛЬСКАЯ, ДОМ 22, КОРПУС 2","(('37.92644'), ('55.682503'))"
"111401, ГОРОД МОСКВА, УЛИЦА 3-Я ВЛАДИМИРСКАЯ, 26А","(('37.786321'), ('55.755023'))"
"115191, ГОРОД МОСКВА, УЛИЦА МАЛАЯ ТУЛЬСКАЯ, ДОМ 15","(('37.61971'), ('55.708917'))"
"127055, ГОРОД МОСКВА, УЛИЦА НОВОСЛОБОДСКАЯ, ДОМ 57, СТРОЕНИЕ 1","(('37.592213'), ('55.78692'))"
"115597, ГОРОД МОСКВА, УЛИЦА ВОРОНЕЖСКАЯ, 46, 3","(('37.753847'), ('55.608811'))"
"117465, ГОРОД МОСКВА, УЛИЦА ТЁПЛЫЙ СТАН, ДОМ 13, КОРПУС 3","(('37.491988'), ('55.622466'))"
"123100, ГОРОД МОСКВА, УЛИЦА 2-Я ЗВЕНИГОРОДСКАЯ, ДОМ 8","(('37.555723'), ('55.75941'))"
"125252, ГОРОД МОСКВА, УЛИЦА НОВОПЕСЧАНАЯ, ДОМ 15","(('37.515461'), ('55.798272'))"
"121357, ГОРОД МОСКВА, УЛИЦА ИНИЦИАТИВНАЯ, ДОМ 1","(('37.461095'), ('55.716595'))"
"117593, ГОРОД МОСКВА, БУЛЬВАР ЛИТОВСКИЙ, 3, 3","(('37.5334'), ('55.614953'))"
"109029, ГОРОД МОСКВА, УЛИЦА СРЕДНЯЯ КАЛИТНИКОВСКАЯ, 9/11, СТР.1","(('37.681245'), ('55.736757'))"
"109029, ГОРОД МОСКВА, УЛИЦА СРЕДНЯЯ КАЛИТНИКОВСКАЯ, 22, СТР.1","(('37.684632'), ('55.735332'))"
"119285, ГОРОД МОСКВА, УЛИЦА ПЫРЬЕВА, 11","(('37.523231'), ('55.727764'))"
"115580, ГОРОД МОСКВА, УЛИЦА МУСЫ ДЖАЛИЛЯ, ДОМ 25","(('37.746597'), ('55.619605'))"
"117574, ГОРОД МОСКВА, УЛИЦА ГОЛУБИНСКАЯ, ДОМ 5, КОРПУС 3","(('37.5175'), ('55.605541'))"
"109443, ГОРОД МОСКВА, БУЛЬВАР ЕСЕНИНСКИЙ, ДОМ 14, КОРПУС 2","(('37.774813'), ('55.700547'))"
"119421, ГОРОД МОСКВА, УЛИЦА ОБРУЧЕВА, 28А","(('37.511984'), ('55.657362'))"
"111555, ГОРОД МОСКВА, УЛИЦА МОЛОСТОВЫХ, 6А","(('37.826898'), ('55.763179'))"
"127549, ГОРОД МОСКВА, УЛИЦА МУРАНОВСКАЯ, 4 А","(('37.601654'), ('55.890886'))"
"117208, ГОРОД МОСКВА, УЛИЦА ЧЕРТАНОВСКАЯ, ДОМ 1А, КОРПУС 3","(('37.608966'), ('55.638206'))"
"111674, г. Москва, улица Покровская, дом 35","(('37.919011'), ('55.705721'))"
"117587, ГОРОД МОСКВА, УЛИЦА КИРОВОГРАДСКАЯ, 8Г","(('37.60673'), ('55.627981'))"
"115569, г. Москва, улица Маршала Захарова, дом 25, корпус 2","(('37.701403'), ('55.6193'))"
"117574, ГОРОД МОСКВА, УЛИЦА ВИЛЬНЮССКАЯ, 14","(('37.517275'), ('55.597948'))"
"115598, ГОРОД МОСКВА, ПРОЕЗД ЗАГОРЬЕВСКИЙ, ДОМ 13","(('37.680077'), ('55.577989'))"
"119602, город Москва, улица Никулинская, д. 5","(('37.455552'), ('55.666442'))"
"117452, ГОРОД МОСКВА, УЛИЦА АЗОВСКАЯ, ДОМ 41","(('37.595483'), ('55.643866'))"
"105005, ГОРОД МОСКВА, ПЕРЕУЛОК ГОСПИТАЛЬНЫЙ, 3","(('37.687506'), ('55.770993'))"
"123458, ГОРОД МОСКВА, УЛИЦА ТВАРДОВСКОГО, ДОМ 12А","(('37.398779'), ('55.793875'))"
"117292, ГОРОД МОСКВА, УЛИЦА ДМИТРИЯ УЛЬЯНОВА, 15, 1","(('37.571579'), ('55.690085'))"
"119296, ГОРОД МОСКВА, ПРОСПЕКТ УНИВЕРСИТЕТСКИЙ, 5","(('37.551376'), ('55.695824'))"
"127224, ГОРОД МОСКВА, УЛИЦА ШИРОКАЯ, 21А","(('37.670932'), ('55.889285'))"
"121059, г. Москва, ул. Брянская, д. 10","(('37.559892'), ('55.745205'))"
"108851, ГОРОД МОСКВА, ГОРОД ЩЕРБИНКА, УЛИЦА 40 ЛЕТ ОКТЯБРЯ, ДОМ 8","(('37.569288'), ('55.51067'))"
"111538, ГОРОД МОСКВА, УЛИЦА КОСИНСКАЯ, 24А","(('37.829557'), ('55.718456'))"
"105203, г. Москва, улица Первомайская, дом 111","(('37.814726'), ('55.793915'))"
"107207, ГОРОД МОСКВА, ШОССЕ ЩЁЛКОВСКОЕ, 77А","(('37.804036'), ('55.813319'))"
"105005, ГОРОД МОСКВА, ТУПИК КОНДРАШЕВСКИЙ, ДОМ 3А","(('37.688018'), ('55.768213'))"
"111024, г. Москва, ул. Авиамоторная, д. 42","(('37.720331'), ('55.740669'))"
